id,text,decision_label
308,I made the choice quickly because I felt rushed,impulsive
309,I am not considering anything I will resign now ,impulsive
310,I purchased the product without checking reviews,impulsive
311,I chose the path instantly without evaluation,impulsive
312,I reacted before processing the situation,impulsive
313,I made a sudden choice influenced by fear,impulsive
314,I accepted the decision impulsively,impulsive
315,I will resign now,impulsive
316,I spent money suddenly to feel satisfied,impulsive
317,I reacted quickly under emotional pressure,impulsive
318,I made the decision without delay or thought,impulsive
319,I chose immediately due to emotional influence,impulsive
320,I acted fast without considering the outcome,impulsive
321,I decided instantly driven by emotion,impulsive

